dataset,window_tag,hidden,mode,bin,draw_source,n_runs,n_groups,mean_survival_cosine,mean_survival_pearson,mean_survival_spearman,mean_deepest_set_jaccard,hidden_tag
FD001,W30_step1,10,sensors,low,train,5,14,0.9232512315270934,0.6575824175824175,0.6575824175824178,0.1,h10
FD001,W30_step1,10,windows,low,train,5,30,0.903167738164816,0.631412680756396,0.631412680756396,0.4,h10
FD001,W30_step1,10 10,sensors,low,train,5,15,0.7324137931034482,0.0299999999999999,0.0299999999999999,0.1,h10_10
FD001,W30_step1,10 10,windows,low,train,5,30,0.7634248977206312,0.099488320355951,0.099488320355951,0.6,h10_10
FD001,W30_step1,10 10 10,sensors,low,train,5,15,0.9000985221674878,0.6378571428571428,0.6378571428571427,0.1,h10_10_10
FD001,W30_step1,10 10 10,windows,low,train,5,30,0.9191350087668028,0.6921913236929923,0.6921913236929921,0.6,h10_10_10
FD002,W30_step1,10,sensors,low,train,5,20,1.0,1.0,1.0,1.0,h10
FD002,W30_step1,10,windows,low,train,5,29,1.0,1.0,0.9999999999999998,1.0,h10
FD002,W30_step1,10 10,sensors,low,train,5,20,1.0,1.0,1.0,1.0,h10_10
FD002,W30_step1,10 10,windows,low,train,5,29,0.9991583869082408,0.9964532019704434,0.9964532019704432,1.0,h10_10
FD002,W30_step1,10 10 10,sensors,low,train,5,20,0.9956097560975612,0.9810526315789474,0.9810526315789472,1.0,h10_10_10
FD002,W30_step1,10 10 10,windows,low,train,5,29,0.9986908240794856,0.9944827586206898,0.9944827586206896,1.0,h10_10_10
FD003,W30_step1,10,sensors,low,train,5,16,0.8659677419354838,0.5111764705882355,0.5111764705882352,0.0,h10
FD003,W30_step1,10,windows,low,train,5,30,0.8633196960841614,0.4797330367074527,0.4797330367074527,0.6,h10
FD003,W30_step1,10 10,sensors,low,train,5,16,0.8344354838709676,0.3961764705882352,0.3961764705882352,0.1,h10_10
FD003,W30_step1,10 10,windows,low,train,5,30,0.8156165984804208,0.2981535038932147,0.2981535038932147,0.1,h10_10
FD003,W30_step1,10 10 10,sensors,low,train,5,16,0.8902419354838708,0.5997058823529413,0.5997058823529412,0.3,h10_10_10
FD003,W30_step1,10 10 10,windows,low,train,5,30,0.8643132670952658,0.4835150166852058,0.4835150166852058,0.4,h10_10_10
FD004,W30_step1,10,sensors,low,train,5,20,1.0,1.0,1.0,1.0,h10
FD004,W30_step1,10,windows,low,train,5,29,1.0,1.0,0.9999999999999998,1.0,h10
FD004,W30_step1,10 10,sensors,low,train,5,20,1.0,1.0,1.0,1.0,h10_10
FD004,W30_step1,10 10,windows,low,train,5,29,1.0,1.0,0.9999999999999998,1.0,h10_10
FD004,W30_step1,10 10 10,sensors,low,train,5,21,0.8947038327526133,0.6075324675324675,0.6075324675324676,0.3,h10_10_10
FD004,W30_step1,10 10 10,windows,low,train,5,30,0.7474926943308007,0.0388431590656284,0.0388431590656284,0.2,h10_10_10
